Category,#,Item,Priority,Status,Owner,Path to Close,Effort Estimate,Dependencies,Target Month,Notes
Critical Gap,1,EPTAC/IPC relationship undefined,CRITICAL,Not Started,Founder,"Direct engagement with EPTAC — in person. Define: licensing terms, instructor pathway, territorial arrangement, competitive boundaries.",1-2 meetings + follow-up,None — this is the first action,Month 1-2,Single most time-sensitive action. EPTAC is simultaneously partner/benchmark/competitor.
Critical Gap,2,No host facility identified,CRITICAL,Not Started,Founder,"Hamilton Bayfront survey: identify 3-5 candidate spaces (industrial units, 2000-3000 sq ft). Engage Invest in Hamilton. Cross-reference Bayfront Strategy land inventory.",2-4 weeks desk research + site visits,Invest in Hamilton engagement,Month 3-4,
Critical Gap,3,No demand validation from a named customer,CRITICAL,Not Started,Founder,"Contact highest-priority targets: Artaflex (training + Clarkware pilot), Opto-Electronics (Hamilton), Evertz Microsystems (Burlington), Bosch Rexroth (Welland). One signed LOI or paid discovery changes everything.",4-8 weeks outreach + meetings,None — can start immediately,Month 1-4,One LOI transforms credibility of entire document.
Critical Gap,4,Legal entity not formed,CRITICAL,Not Started,Founder + Legal,"Ontario incorporation for Clark and Niagara Assembly. IP assignment for Clarkware. Shareholder agreement defining Clark-NA relationship (methodology license, equity terms).",Legal counsel; 4-6 weeks,Founder decision on structure,Month 1-2,
Critical Gap,5,Founder identity not disclosed,CRITICAL,Not Started,Founder,Name the founder(s). State relevant background. Not optional for any reader.,Decision — not research,None,Month 1,White paper review: "No team. No people named."
High-Priority Gap,6,Controlled Goods Programme registration,HIGH,Not Started,Founder + Legal,"Research CG Programme requirements (PSPC). Determine eligibility, timeline, cost. Artaflex holds CG clearance — potential model.",Desk research 1-2 days,Legal entity must exist first,Month 3-6,Required for defence supply chain access and Space Addendum training.
High-Priority Gap,7,IPC Space Addendum training pathway,HIGH,Not Started,Founder,Contact IPC for Space Addendum authorization requirements. Identify qualified instructors in Ontario.,1-2 days research + IPC contact,EPTAC relationship (#1),Month 3-6,"Premium product: $2,800-$3,500/student. Corridor has Honeywell/COM DEV, MDA."
High-Priority Gap,8,ITAR compliance pathway,HIGH,Not Started,Founder + Legal,Legal research on ITAR exemption scope for IPC training and small-batch assembly. Determine whether separate US entity required.,Legal research 2-3 days,Legal entity (#4),Month 3-6,Required for cross-border defence work.
High-Priority Gap,9,Assembly pricing validation (Pillar 2),HIGH,Not Started,Founder,"Obtain 3-5 real quotes for small-batch assembly from existing providers (Artaflex rework rates, Brantco, Mettrix Buffalo). Price first 3 jobs against market.",2-3 weeks outreach,Customer contacts (#3),Month 5-8,Pillar 2 pricing is entirely illustrative until validated.
High-Priority Gap,10,Distribution supplier agreements (Pillar 4),HIGH,Not Started,Founder,Contact Kester/Indium Corporation/Techspray for authorized reseller terms. Determine minimum orders and margin structure.,1-2 weeks outreach,None,Month 3-4,
High-Priority Gap,11,Institutional partner engagement,HIGH,Not Started,Founder,"Prioritize: Mohawk College (mid-contraction, natural Pillar 1 partner), Invest in Hamilton (Bayfront Strategy, Action 42), NIA (peninsula manufacturer access).",4-8 weeks; relationship-building,None — can start immediately,Month 1-6,Section 2d lists 6 post-secondary + 10 econ dev orgs. None contacted.
High-Priority Gap,12,Insurance requirements and quotes,HIGH,Not Started,Founder,"Contact 2-3 commercial insurance brokers in Hamilton. Obtain indicative quotes for training-and-assembly operations (GL, equipment, E&O, trainee injury).",1 week,Facility type known (#2),Month 3-4,
Research — Corridor,13,Download Brantford Industrial Directory PDF,MEDIUM,Not Started,Desk Research,advantagebrantford.ca — download and systematically review,2-3 hours,None,Anytime,Ready-made resource.
Research — Corridor,14,Access Welland open data business directory,MEDIUM,Not Started,Desk Research,niagararegion.ca,2-3 hours,None,Anytime,
Research — Corridor,15,Systematic D&B browsing — Hamilton / Burlington / KW,MEDIUM,Not Started,Desk Research,dnb.com — profile all electronics-adjacent manufacturers and companies >20 employees,4-6 hours,None,Anytime,"Hamilton alone has 820 profiles; only ~20 named."
Research — Corridor,16,NIA member directory access,MEDIUM,Not Started,Founder,Requires NIA membership or partnership engagement,Relationship-dependent,NIA engagement (#11),Month 3-6,Most direct path to peninsula-wide company data.
Research — Corridor,17,StatsCan Canadian Business Counts by NAICS,MEDIUM,Not Started,Desk Research,"Pull for Hamilton CMA, Niagara Region, Waterloo Region — authoritative establishment counts",2 hours,None,Anytime,
Research — Corridor,18,Paid directory access (Scott's) for 500+ target,LOW,Not Started,Desk Research,"scottsinfo.com — subscription required ($500-$1,500)",4-6 hours processing,$500-$1500 cost,Anytime,Only needed if targeting 500+ named companies.
Research — Institutional,19,Named contacts at key institutions,MEDIUM,Not Started,Desk Research,"Invest in Hamilton, NIA, EPTAC, Mohawk College, Innovation Factory, workforce boards — names, titles, contact info",4-6 hours,None,Month 1-2,Stakeholder intel file covers company contacts but not institutional.
Research — Institutional,20,"Funding programme eligibility — SDF, AMIC, FedDev, IRAP, tariff retraining",MEDIUM,Not Started,Desk Research,"Criteria, application windows, award sizes, eligibility requirements for each programme",1 day research,None,Month 2-4,Determines which programmes NA can actually apply to.
Research — Institutional,21,Niagara municipal economic strategies,MEDIUM,Not Started,Desk Research,"St. Catharines, Welland equivalents of Hamilton's Bayfront Strategy — do they have their own stalled strategies?",Half day research,None,Month 2-4,
Research — Institutional,22,Hamilton spring 2026 council update status,MEDIUM,Not Started,Desk Research,Has it been published? If so the business case must react to its contents.,1 hour check,None,Immediate,Time-sensitive — check now.
White Paper Issue,WP-1,The Ask section is unfinished,CRITICAL,Open,Founder,"Define: raise amount, instrument (SAFE/equity/convertible), valuation or cap, use of proceeds",Founder decision + legal advice,Legal entity (#4),Before investor presentation,TODO placeholder still in white paper.
White Paper Issue,WP-2,GDP share vs. absolute output vulnerability,CRITICAL,Open,Research,"Reframe thesis around capability loss, workforce loss, supply-chain dependence (independently verifiable) rather than GDP %. Or explicitly address the counter-argument.",Half day rewrite,None,White paper revision pass,US manufacturing output roughly doubled in real dollars even as GDP share fell.
White Paper Issue,WP-3,No team / no customers / no revenue,CRITICAL,Partially Addressed,Founder,Business case provides economics and demand model. Team and customer validation remain gaps (Critical #3 and #5).,Depends on #3 and #5,Critical gaps #3 and #5,Ongoing,
White Paper Issue,WP-4,Five-layer integration unfalsifiable,CRITICAL,Addressed,N/A,Cross-pillar flywheel in Section 4 includes decomposition test for each pillar.,Done,N/A,N/A,
White Paper Issue,WP-5,Single cause of ecosystem death overstated,HIGH,Open,Research,"Soften to ""common vulnerability"" rather than ""single cause"" — the honest version is still powerful and supported by evidence.",1 hour edit,None,White paper revision pass,Own case studies contradict monocausality claim.
White Paper Issue,WP-6,Scale case absent,HIGH,Addressed,N/A,"Sections 3 and 4 provide scale scenarios for Clark (5/10 centers) and Niagara Assembly (Year 1/2, 4 pillars).",Done,N/A,N/A,
White Paper Issue,WP-7,Part 1 does too much,HIGH,Open,Revision,"Structural edit: Part 1 should establish problem only, ending with the question. Parts 2-3 answer it.",Major structural revision,None,White paper revision pass,Three articles compressed into one.
White Paper Issue,WP-8,Cross-document repetition,HIGH,Open,Revision,"Edit articles and white paper as a corpus. Key passages (managed decline, Marshall, three rules, 1/1000th cost) appear 3x nearly verbatim.",Corpus-level edit pass,All sections drafted,White paper revision pass,
White Paper Issue,WP-9,Opening paragraph is weakest writing,HIGH,Open,Revision,"Cut everything before the Stephenson proper noun. Replace dead phrases: ""kaleidoscope of issues and ills"" etc.",1 hour edit,None,White paper revision pass,
White Paper Issue,WP-10,M&A layer lacks credible path,HIGH,Partially Addressed,Founder,"Pillar 3 acknowledges gap honestly, names capital sources (cash flow, angel/BDC/FedDev). Still speculative until first acquisition.",Operating proof needed,Pillars 1-2 generating cash flow,Month 18-24,Bench-to-acquirer gap not fully bridged.
White Paper Issue,WP-11,"Missing comparables — FAME, Tooling U, Foxconn, Germany recession",HIGH,Open,Research,"Add FAME (Toyota US training), Tooling U-SME, Stanley Black & Decker Manufactory 4.0, Foxconn Wisconsin, Germany's manufacturing recession since 2018-19.",Half day research + writing,None,White paper revision pass,
White Paper Issue,WP-12,Competitive response from EPTAC not addressed,HIGH,Partially Addressed,Founder,"EPTAC named as partner/competitor/threat. Response to ""what if EPTAC replicates in Hamilton?"" remains unanswered — answer is four-pillar integration moat.",Needs EPTAC engagement (#1),Critical gap #1,Month 1-2,
White Paper Issue,WP-13,Output-drag has no measurement,MEDIUM,Open,Research,"Develop quantifiable proxy: avg lead time for local electronics fabrication, IPC-certified technicians per capita, % orders fulfilled locally vs. offshore.",Half day methodology work,None,White paper revision pass,
